id,title,department,location,recruiter,status,band
J101,AI Engineer,AI,Chennai,David,Open,L1
J102,Computer Vision Engineer,AI,Pune,Alice,Open,L2
J103,Business Development Executive,Sales,Mumbai,Alice,Open,L5
J104,Product Manager,Product,Pune,Emma,Filled,L1
J105,HR Manager,HR,Pune,Frank,Open,L2
J106,Financial Analyst,Finance,Hyderabad,Grace,Open,L3
J107,Marketing Specialist,Marketing,Pune,Bob,Filled,L4
J108,Computer Vision Engineer,AI,Chennai,Frank,Open,L1
J109,Cloud Engineer,Engineering,Bangalore,Emma,Filled,L2
J110,NLP Engineer,AI,Chennai,Henry,Filled,L3
J111,Talent Acquisition Specialist,HR,Chennai,David,Filled,L1
J112,HR Manager,HR,Bangalore,Carol,Open,L3
J113,Business Development Executive,Sales,Chennai,Alice,Open,L1
J114,Accountant,Finance,Chennai,Bob,Open,L5
J115,Financial Analyst,Finance,Pune,Grace,Filled,L4
J116,Talent Acquisition Specialist,HR,Bangalore,David,Filled,L5
J117,Content Strategist,Marketing,Mumbai,Grace,Filled,L4
J118,Financial Analyst,Finance,Bangalore,Henry,Open,L1
J119,Data Scientist,AI,Bangalore,Grace,Open,L4
J120,UI/UX Designer,Product,Pune,Emma,Filled,L1
J121,Computer Vision Engineer,AI,Chennai,Frank,Open,L4
J122,Talent Acquisition Specialist,HR,Hyderabad,Emma,Filled,L2
J123,ML Engineer,AI,Mumbai,David,Open,L2
J124,DevOps Engineer,Engineering,Chennai,Henry,Open,L3
J125,Marketing Specialist,Marketing,Hyderabad,David,Filled,L1
J126,NLP Engineer,AI,Hyderabad,Carol,Open,L4
J127,Talent Acquisition Specialist,HR,Mumbai,Grace,Filled,L5
J128,Business Development Executive,Sales,Chennai,Grace,Filled,L3
J129,Support Engineer,Operations,Pune,Bob,Open,L1
J130,Financial Analyst,Finance,Mumbai,David,Open,L1
J131,AI Engineer,AI,Bangalore,Bob,Filled,L3
J132,Computer Vision Engineer,AI,Bangalore,Emma,Filled,L2
J133,HR Manager,HR,Mumbai,Henry,Open,L4
J134,Product Manager,Product,Hyderabad,Bob,Filled,L3
J135,Product Analyst,Product,Pune,Alice,Filled,L1
J136,QA Engineer,Engineering,Chennai,Bob,Open,L2
J137,Operations Executive,Operations,Pune,Carol,Open,L2
J138,NLP Engineer,AI,Mumbai,Bob,Open,L5
J139,Frontend Developer,Engineering,Bangalore,Carol,Open,L4
J140,Account Manager,Sales,Hyderabad,Carol,Open,L4
J141,SEO Analyst,Marketing,Chennai,Grace,Filled,L5
J142,Operations Executive,Operations,Bangalore,Emma,Open,L1
J143,Cloud Engineer,Engineering,Chennai,Alice,Open,L4
J144,HR Executive,HR,Mumbai,Bob,Filled,L1
J145,Data Scientist,AI,Pune,Bob,Filled,L5
J146,Business Development Executive,Sales,Mumbai,Alice,Filled,L4
J147,Accountant,Finance,Bangalore,Frank,Open,L4
J148,HR Manager,HR,Chennai,Henry,Open,L1
